time,datetime,date,year,month,day,hour,close,high,low,open,volumefrom,volumeto
1749805200,2025-06-13 09:00:00,2025-06-13,2025,6,13,9,2522.48,2528.77,2508.35,2519.58,11661.27,29358069.82
1749808800,2025-06-13 10:00:00,2025-06-13,2025,6,13,10,2533.9,2535.46,2511.07,2522.48,10842.91,27373019.73
1749812400,2025-06-13 11:00:00,2025-06-13,2025,6,13,11,2546.51,2546.8,2524.08,2533.9,15123.15,38346576.96
1749816000,2025-06-13 12:00:00,2025-06-13,2025,6,13,12,2543.49,2564.56,2538.6,2546.51,34331.51,87630097.39
1749819600,2025-06-13 13:00:00,2025-06-13,2025,6,13,13,2544.51,2563.16,2536.69,2543.49,26428.33,67396014.89
1749823200,2025-06-13 14:00:00,2025-06-13,2025,6,13,14,2540.19,2555.28,2505.54,2544.51,44679.49,112929595.4
1749826800,2025-06-13 15:00:00,2025-06-13,2025,6,13,15,2553.13,2561.92,2532.6,2540.19,32854.35,83799176.99
1749830400,2025-06-13 16:00:00,2025-06-13,2025,6,13,16,2563.58,2586.72,2546.75,2553.13,29254.92,75024580.81
1749834000,2025-06-13 17:00:00,2025-06-13,2025,6,13,17,2544.81,2563.58,2524.39,2563.58,29556.93,75165514.51
1749837600,2025-06-13 18:00:00,2025-06-13,2025,6,13,18,2530.82,2547.08,2511.55,2544.81,32579.74,82325478.54
1749841200,2025-06-13 19:00:00,2025-06-13,2025,6,13,19,2528.71,2542.81,2522.73,2530.82,22754.64,57601084.33
1749844800,2025-06-13 20:00:00,2025-06-13,2025,6,13,20,2548.15,2554.1,2525.97,2528.71,22916.25,58197219.14
1749848400,2025-06-13 21:00:00,2025-06-13,2025,6,13,21,2555.75,2561.2,2544.17,2548.15,9694.66,24730504.64
1749852000,2025-06-13 22:00:00,2025-06-13,2025,6,13,22,2574.0,2575.95,2555.75,2555.75,9719.55,24944990.67
1749855600,2025-06-13 23:00:00,2025-06-13,2025,6,13,23,2580.25,2584.71,2569.0,2574.0,12042.03,31042742.85
1749859200,2025-06-14 00:00:00,2025-06-14,2025,6,14,0,2564.11,2580.87,2561.24,2580.25,15799.82,40591772.62
1749862800,2025-06-14 01:00:00,2025-06-14,2025,6,14,1,2559.54,2567.84,2552.06,2564.11,11395.84,29175830.53
1749866400,2025-06-14 02:00:00,2025-06-14,2025,6,14,2,2556.73,2569.3,2554.18,2559.54,10741.73,27497552.45
1749870000,2025-06-14 03:00:00,2025-06-14,2025,6,14,3,2550.74,2561.92,2549.04,2556.73,5863.17,14981155.83
1749873600,2025-06-14 04:00:00,2025-06-14,2025,6,14,4,2553.62,2558.01,2550.18,2550.74,3582.71,9152111.52
1749877200,2025-06-14 05:00:00,2025-06-14,2025,6,14,5,2553.84,2558.25,2549.43,2553.62,3584.07,9148169.14
1749880800,2025-06-14 06:00:00,2025-06-14,2025,6,14,6,2545.13,2558.01,2543.99,2553.84,5969.87,15221823.37
1749884400,2025-06-14 07:00:00,2025-06-14,2025,6,14,7,2539.17,2545.7,2528.27,2545.13,8320.47,21120536.48
1749888000,2025-06-14 08:00:00,2025-06-14,2025,6,14,8,2537.35,2539.42,2528.67,2539.17,5631.23,14262017.81
1749891600,2025-06-14 09:00:00,2025-06-14,2025,6,14,9,2524.78,2537.46,2523.86,2537.35,4337.89,10976826.2
1749895200,2025-06-14 10:00:00,2025-06-14,2025,6,14,10,2533.1,2537.01,2520.51,2524.78,5958.3,15071763.06
1749898800,2025-06-14 11:00:00,2025-06-14,2025,6,14,11,2540.5,2541.48,2532.33,2533.1,2453.64,6226420.08
1749902400,2025-06-14 12:00:00,2025-06-14,2025,6,14,12,2538.22,2540.88,2530.67,2540.5,5853.02,14840884.23
1749906000,2025-06-14 13:00:00,2025-06-14,2025,6,14,13,2536.29,2547.48,2527.72,2538.22,7429.69,18856642.62
1749909600,2025-06-14 14:00:00,2025-06-14,2025,6,14,14,2530.92,2538.89,2525.92,2536.29,5818.46,14736535.65
1749913200,2025-06-14 15:00:00,2025-06-14,2025,6,14,15,2521.23,2534.8,2506.79,2530.92,20358.96,51278179.96
1749916800,2025-06-14 16:00:00,2025-06-14,2025,6,14,16,2499.2,2527.6,2494.09,2521.23,20981.64,52613389.45
1749920400,2025-06-14 17:00:00,2025-06-14,2025,6,14,17,2513.06,2519.83,2490.76,2499.2,13362.52,33505169.81
1749924000,2025-06-14 18:00:00,2025-06-14,2025,6,14,18,2510.03,2524.6,2490.47,2513.06,14374.83,36008768.41
1749927600,2025-06-14 19:00:00,2025-06-14,2025,6,14,19,2509.49,2523.1,2506.97,2510.03,12738.83,32032716.01
1749931200,2025-06-14 20:00:00,2025-06-14,2025,6,14,20,2510.51,2515.16,2498.88,2509.49,14064.38,35266993.96
1749934800,2025-06-14 21:00:00,2025-06-14,2025,6,14,21,2529.38,2535.75,2508.29,2510.51,8046.16,20279112.38
1749938400,2025-06-14 22:00:00,2025-06-14,2025,6,14,22,2527.59,2534.77,2519.89,2529.38,4766.53,12052772.08
1749942000,2025-06-14 23:00:00,2025-06-14,2025,6,14,23,2532.75,2541.38,2527.59,2527.59,6361.91,16117971.98
1749945600,2025-06-15 00:00:00,2025-06-15,2025,6,15,0,2539.35,2542.81,2530.56,2532.75,7701.93,19541953.89
